rank,team,composite,bt_strength,xgd_per60,xg_share,gd_pg,win_pct,sos,pdo,gsax_pg,xg_per_shot,pim_pg,pen_diff_pg,ev_xgd60,pp_xgf60,pk_xga60,goalie_gsax60,depth_gap,fin60_shrunk,gsax60_shrunk
12,mexico,0.17586102294204653,-0.21755048758408596,0.4801208593062482,0.5423165411398946,-0.2073170731707317,0.4634146341463415,0.01631085919831633,0.9813360948405121,-0.36872317073170724,0.11104648716870004,14.646341463414634,-1.2195121951219512,0.582066966133898,7.670854631533282,6.897270914620638,-0.35085986063589036,0.41107131649319895,-0.32547208259566507,-0.3516960382603355
13,serbia,0.14644618479301247,-0.014227680668972812,0.15625180793217044,0.5121097073609742,0.06097560975609756,0.5,0.0007080971707733064,1.0039723014256619,0.0021243902439022537,0.11294830957230143,12.963414634146341,0.9634146341463414,0.12273369539997692,7.822970298303094,7.785817280569734,0.018481407404093726,0.5397621872976162,-0.09873383250502916,0.002215891690820667
14,france,0.10758777810468917,-0.14946696489002037,0.376833557873511,0.5324614874961037,-0.2926829268292683,0.45121951219512196,-0.0034501698505175495,0.9772727965594208,-0.3763475609756098,0.11851217777777778,11.048780487804878,3.7804878048780486,-0.169525547030148,8.092540813958198,6.476202180308532,-0.3490333776836635,0.8542481561704791,-0.296981149546532,-0.3569671039655992
15,ethiopia,0.035401850943865595,0.2337733659757576,-0.27660620476386477,0.47682948688329996,0.24390243902439024,0.524390243902439,-0.00010932886944056155,1.0206185316535943,0.19131829268292708,0.10922440693430657,14.670731707317072,-0.9390243902439024,-0.12912382072837492,7.409217578359007,7.546292036073806,0.2161781562444136,-0.4600139239061126,0.3271803550267283,0.18633197438310653
16,philippines,-0.0505684904300094,0.15681053254708538,-0.2595770005086542,0.4749298062146766,0.14634146341463414,0.524390243902439,-0.01182848198352729,1.008174603174603,0.6113926829268291,0.10170719047619048,10.987804878048781,1.6219512195121952,-0.4926052485436214,7.127102625231328,6.895673469954508,0.5828003237934873,0.4153920816709894,-0.17926317326842583,0.5763442081123562
17,new_zealand,-0.0683734231865545,-0.07475636738559152,0.0348053126562817,0.5030580953673707,-0.08536585365853659,0.4878048780487805,0.0017928834380241696,0.9857938747962064,0.15038170731707315,0.11092625287356322,13.853658536585366,-0.2926829268292683,0.04765753030843012,7.613509185261965,7.6319233469997965,0.14636029506463788,0.8561747200832452,-0.26389165944589454,0.1462204574329361
18,south_korea,-0.07668582312589803,-0.11788291444981246,0.10209765304332083,0.5084685999743669,-0.17073170731707318,0.47560975609756095,0.0011139605272517848,0.9753556672122329,-0.6194963414634146,0.1056330081300813,16.451219512195124,-2.9390243902439024,0.4689732281983212,7.431553711785469,7.551862158895746,-0.5530152036739426,0.4724594151991933,0.33126266135738475,-0.5980561026665692
19,indonesia,-0.1872079239777733,0.04825948059347763,-0.26311872296229494,0.4753022698888534,0.13414634146341464,0.5,0.013526217501393774,1.0019792224853503,0.34558170731707333,0.10004652455977757,10.304878048780488,3.3658536585365852,-0.619509110927267,6.970327141159172,6.729860386291175,0.33731751746978555,0.6591322652890632,0.05956278058160475,0.3319128955338211
20,canada,-0.2205381988229454,-0.1398096542262507,0.08943808144467132,0.5079517717988844,-0.524390243902439,0.43902439024390244,0.031994443307837,0.973870438107906,-0.38311951219512186,0.10920919384057971,12.085365853658537,0.8658536585365854,0.10911678871445663,7.187190457287406,7.083474816931867,-0.358041602350129,0.8264545312067736,-0.22644246479112334,-0.37141535227327077
21,morocco,-0.2874788147478827,-0.25983188598790236,0.06827224594448648,0.5059604188039578,-0.24390243902439024,0.45121951219512196,-0.012392215113271286,0.9967337070873913,-0.30945365853658546,0.1057217372881356,12.073170731707316,1.8902439024390243,0.07496149114346551,6.812244231108556,7.907752986834343,-0.2698757686543931,0.24906414982226147,-0.005976680687612404,-0.2940900430391133
22,singapore,-0.3385748594551577,0.1871195207200788,-0.4991528390308321,0.4614332146270806,-0.17073170731707318,0.4878048780487805,-0.03545365929574715,1.0060361233077626,0.3778597560975613,0.11228514635211882,14.634146341463415,-1.329268292682927,-0.2901673021582525,8.34149570405412,8.761272121982602,0.39259544951908887,0.24883151770434514,-0.0235795175426699,0.35953772382244714
23,saudi_arabia,-0.45102580651323043,-0.2716270422995054,-0.13877338742132428,0.48666143773185433,-0.12195121951219512,0.47560975609756095,0.012420804203688286,1.0046275221611283,0.3166780487804879,0.11246260914227016,12.182926829268293,1.2926829268292683,-0.24903778165879698,6.65980848900628,6.784788815007922,0.33243157161852793,0.939456340692592,-0.27676757813283936,0.29988657649520095
24,germany,-0.5371629351662628,-0.26680039477983053,-0.1656904763560951,0.4858823029761884,-0.25609756097560976,0.43902439024390244,0.018713293695669726,0.9933749539012696,-0.25607195121951204,0.11652397660818714,11.21951219512195,1.2195121951219512,-0.28692290523783726,7.826502638453648,7.54774895737105,-0.24579648220508288,-0.258348897421175,0.165246930761024,-0.24983272333593454
25,vietnam,-0.7869438999848937,-0.1630443360694907,-0.5374884066419325,0.4535573507627443,-0.4146341463414634,0.47560975609756095,0.0037741945343544724,0.9898334592261668,0.18312439024390276,0.10922999516207063,14.292682926829269,-0.8658536585365854,-0.32161749012036944,7.129215917434905,8.257348888490572,0.17754575705653897,0.28356262855994246,-0.03238622797712811,0.17441374257154715
26,switzerland,-0.8693500961250774,-0.37545600528967193,-0.3707792542710112,0.46375436551502913,-0.34146341463414637,0.43902439024390244,0.030405073511043375,0.9917063821589918,0.10221951219512201,0.09808504538939322,14.975609756097562,-1.5121951219512195,-0.2416148116764072,6.777662216636327,7.528960889248553,0.09286038215246055,0.2644240850617495,-0.04965193993631119,0.09683282204039297
27,oman,-0.9001566114183801,-0.3391532719794485,-0.40793321191288834,0.46705421146056375,-0.5121951219512195,0.4268292682926829,0.032424400553731636,0.987010781848813,-0.04277317073170754,0.11256300551470588,18.890243902439025,-6.048780487804878,0.163553587295727,7.148596521263562,8.353227518880335,-0.039856267088103775,0.5365783958060371,-0.0465451543927655,-0.04119523193072507
28,uae,-0.9138292843673561,-0.41902292116713125,-0.3556932661584706,0.46587542519770936,-0.5853658536585366,0.4634146341463415,-0.004626798763064995,0.9969268397705403,-0.09312073170731698,0.10835233213736545,12.365853658536585,1.2926829268292683,-0.49565490760263176,6.9396419447818944,7.751562364538081,-0.09120767714855235,0.6762084479415784,-0.10787895517097652,-0.0874244448924153
29,usa,-0.9537089976420832,-0.38663169692897853,-0.40439959695018957,0.46758160850108516,-0.573170731707317,0.4268292682926829,0.017006314147457683,0.9909648011668969,-0.06466707317073189,0.11395338553661907,15.71951219512195,-2.426829268292683,-0.21509072351028236,7.128799332759578,8.507405342656439,-0.05728230493491684,0.8066942103310559,-0.08715071856407046,-0.062266642491558596
30,kazakhstan,-1.2741274603548427,-0.7627415317440162,-0.2547881529267447,0.4755044344541175,-0.6707317073170732,0.36585365853658536,0.010881026190306262,0.9703260418839806,-0.20217682926829258,0.10564214501510574,10.414634146341463,2.0121951219512195,-0.6383304625442723,7.516077395913804,7.50504158958354,-0.15109767714841127,0.7172598100285021,-0.19790169228199783,-0.1949476828713398
31,rwanda,-1.3971774353457824,-0.7492220914133741,-0.3801240562755922,0.46633642488756727,-0.7682926829268293,0.36585365853658536,0.061721879268184496,0.9717582970530967,-0.10827073170731698,0.10527253057384761,16.658536585365855,-4.329268292682927,0.012162655474119877,6.804646493142273,7.985912817157017,-0.10407026343749282,0.5025151609798197,-0.2562905679665763,-0.10413112975746307
32,mongolia,-1.884630899706741,-0.6168441526393618,-0.9483492164479553,0.41131472321616497,-0.7926829268292683,0.32926829268292684,0.041384208623979894,0.9832565681554001,0.29874390243902454,0.09296283448959365,13.28048780487805,-0.2682926829268293,-0.9809662255357681,6.208637041122955,7.795771311319404,0.2965858665748322,0.7821560298508926,-0.10078244289318576,0.2868474818334275
