rank,team,composite_score,bt_strength,xgd_per60,xg_share,gd_pg,win_pct,sos,pdo,pp_xgf_per60,pk_save_pct,total_gsax
12,serbia,0.11679604228149376,-0.009941837411411455,0.002604196798869507,0.5121097073609742,0.06097560975609756,0.5,-0.008942652425098037,1.0039723014256619,0.1303828383050516,0.8344827586206897,1.523300000000006
13,mexico,0.11517739270579254,-0.14288435159396215,0.008002014321770804,0.5423165411398946,-0.2073170731707317,0.4634146341463415,0.009058222627960045,0.9813360948405121,0.12784757719222134,0.8342059336823735,-29.918599999999998
14,france,0.0389905783283646,-0.1986540917558533,0.006280559297891851,0.5324614874961037,-0.2926829268292683,0.45121951219512196,0.0036538406459928376,0.9772727965594208,0.13487568023263663,0.856492027334852,-29.714699999999993
15,philippines,-0.012038995484456638,0.09303784704892382,-0.004326283341810903,0.4749298062146766,0.14634146341463414,0.524390243902439,-0.005870618293487001,1.008174603174603,0.11878504375385547,0.858560794044665,50.358300000000014
16,ethiopia,-0.016500824523751335,0.09758374139968282,-0.004610103412731079,0.47682948688329996,0.24390243902439024,0.524390243902439,-0.0018387677009099705,1.0206185316535943,0.1234869596393168,0.8635607321131448,18.051699999999983
17,new_zealand,-0.0412951409066631,-0.048808016804638296,0.0005800885442713617,0.5030580953673707,-0.08536585365853659,0.4878048780487805,0.0026718983336463677,0.9857938747962064,0.1268918197543661,0.8409893992932862,12.16810000000001
18,indonesia,-0.15902278775914125,0.01758627908822788,-0.004385312049371582,0.4753022698888534,0.13414634146341464,0.5,0.018911831108325512,1.0019792224853503,0.11617211901931954,0.8602409638554217,28.628600000000006
19,saudi_arabia,-0.19146634396995954,-0.0975421113436439,-0.0023128897903554047,0.48666143773185433,-0.12195121951219512,0.47560975609756095,0.003995507207124079,1.0046275221611283,0.11099680815010464,0.8870636550308009,28.428600000000017
20,south_korea,-0.26319251419862355,-0.10271723038930336,0.0017016275507220138,0.5084685999743669,-0.17073170731707318,0.47560975609756095,-0.0009401178942717665,0.9753556672122329,0.12385922852975781,0.8145285935085007,-46.517600000000016
21,morocco,-0.3456064071069213,-0.21184024598781614,0.0011378707657414412,0.5059604188039578,-0.24390243902439024,0.45121951219512196,-0.009342821853856782,0.9967337070873913,0.11353740385180927,0.8513513513513513,-23.13499999999999
22,singapore,-0.36997897539092617,-0.06518171184579158,-0.0083192139838472,0.4614332146270806,-0.17073170731707318,0.4878048780487805,-0.013525324401767664,1.0060361233077626,0.13902492840090203,0.8583815028901733,33.67539999999997
23,canada,-0.46142785219833826,-0.22609862663201058,0.001490634690744522,0.5079517717988844,-0.524390243902439,0.43902439024390244,0.02843409670629398,0.973870438107906,0.11978650762145676,0.8224489795918367,-30.18719999999999
24,germany,-0.5762277030247892,-0.2392811015110642,-0.0027615079392682516,0.4858823029761884,-0.25609756097560976,0.43902439024390244,0.013760503111721115,0.9933749539012696,0.13044171064089413,0.8183673469387756,-20.433700000000016
25,vietnam,-0.6500116932822912,-0.0980967568268474,-0.008958140110698875,0.4535573507627443,-0.4146341463414634,0.47560975609756095,0.0034530209199652513,0.9898334592261668,0.11882026529058175,0.8582317073170732,15.13639999999998
26,uae,-0.6876170018776413,-0.16375715010068465,-0.005928221102641178,0.46587542519770936,-0.5853658536585366,0.4634146341463415,-0.011688338726399778,0.9969268397705403,0.11566069907969825,0.8527272727272728,-7.8700000000000045
27,switzerland,-0.7591070177662486,-0.23055236372918295,-0.006179654237850186,0.46375436551502913,-0.34146341463414637,0.43902439024390244,0.022476645007408456,0.9917063821589918,0.11296103694393879,0.8385579937304075,7.989599999999996
28,oman,-0.846950597644401,-0.27122302740470294,-0.0067988868652148066,0.46705421146056375,-0.5121951219512195,0.4268292682926829,0.033000089961639216,0.987010781848813,0.11914327535439269,0.8376623376623377,-3.371499999999969
29,usa,-0.8651016872211561,-0.2893666938024429,-0.006739993282503159,0.46758160850108516,-0.573170731707317,0.4268292682926829,0.014406467943295373,0.9909648011668969,0.1188133222126596,0.8427947598253275,-4.821000000000026
30,kazakhstan,-1.1091122881631301,-0.5540846118821149,-0.0042464692154457456,0.4755044344541175,-0.6707317073170732,0.36585365853658536,0.010323597551223716,0.9703260418839806,0.12526795659856343,0.823943661971831,-12.660500000000013
31,rwanda,-1.2725562840216784,-0.5243686428530463,-0.0063354009379265365,0.46633642488756727,-0.7682926829268293,0.36585365853658536,0.042983853595124986,0.9717582970530967,0.11341077488570456,0.8181818181818181,-8.734899999999982
32,mongolia,-1.8403093175161702,-0.6925930892512465,-0.01580582027413259,0.41131472321616497,-0.7926829268292683,0.32926829268292684,0.03670644355035488,0.9832565681554001,0.10347728401871592,0.8660714285714286,24.976699999999994
